2026-03-11 13:08:29.747 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:29.848 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:29.984 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:36.451 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:36.548 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:36.706 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:41.645 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:41.924 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:42.072 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:47.036 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:47.141 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:47.295 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:52.620 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:52.730 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:52.906 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:58.009 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:58.268 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:58.427 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:03.543 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:03.807 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:04.066 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:08.925 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:09.028 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:09.245 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:14.299 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:14.403 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:14.535 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:19.541 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:19.654 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:19.784 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:24.771 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:24.874 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:24.992 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:29.986 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:30.091 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:30.203 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:09:35.196 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:35.295 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:09:35.415 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
